id,name,price,product_url,img_url,category,tags
760924,ЛОНГСЛИВ | EVA00 BASE,5 590₽,https://nikifilini.com/product/longsleeve-eva00-base/,https://nikifilini.com/wp-content/uploads/2021/09/EVA00-BASE-pered-chernaya-700x932.jpg,"am, evangelion, longslivi-women, collections, longsleeve, longsleeves-eva, longslivi-s-printom, longslivi-men, clothing, unisex",black
760919,ЛОНГСЛИВ | EVA00 MECH,5 790₽,https://nikifilini.com/product/longsleeve-long-wht-eva00-mech/,https://nikifilini.com/wp-content/uploads/2021/09/EVA00-MECH-zad-700x932.jpg,"am, evangelion, longslivi-women, collections, longsleeve, longsleeves-eva, longslivi-s-printom, longslivi-men, clothing, unisex",white
760931,ЛОНГСЛИВ | EVA00 REI,5 790₽,https://nikifilini.com/product/longsleeve-eva00-rei/,https://nikifilini.com/wp-content/uploads/2021/09/EVA00-REI-zad-700x932.jpg,"am, evangelion, longslivi-women, collections, longsleeve, longsleeves-eva, longslivi-s-printom, longslivi-men, clothing, unisex","black, rei-ayanami"
760961,ФУТБОЛКА | EVA02 LANGLEY,4 150₽,https://nikifilini.com/product/t_shirt-eva02-langley/,https://nikifilini.com/wp-content/uploads/2021/07/T_SHIRT-EVA02-LANGLEY-1-kopiya-700x932.webp,"evangelion, futbolki-women, futbolki-men, futbolki-s-printom","black, asuka"
757635,ФУТБОЛКА | EVA02 ASUKA,4 150₽,https://nikifilini.com/product/t_shirt-eva02-asuka/,https://nikifilini.com/wp-content/uploads/2021/07/T_SHIRT-EVA02-ASUKA-1-scaled-1-700x932.jpg,"evangelion, futbolki-women, futbolki-men, futbolki-s-printom","black, asuka"
757236,ЛОНГСЛИВ | EVA02 KYOKO,5 790₽,https://nikifilini.com/product/longsleeve-eva02-kyoko/,https://nikifilini.com/wp-content/uploads/2021/07/EVA02-KYOKO-zad-700x932.jpg,"am, evangelion, longslivi-women, collections, longsleeve, longsleeves-eva, longslivi-s-printom, longslivi-men, clothing, unisex",black
760965,ФУТБОЛКА | EVA02 MECH,4 150₽,https://nikifilini.com/product/t_shirt-eva02-mech/,https://nikifilini.com/wp-content/uploads/2021/07/futbolka13-scaled-700x932.jpg,"evangelion, futbolki-women, futbolki-men, futbolki-s-printom",white
760351,ШТАНЫ | EVA02 BASE,7 990₽,https://nikifilini.com/product/pants-women-eva02-base/,https://nikifilini.com/wp-content/uploads/2021/07/eva02-2--700x932.jpeg,"am, evangelion, collections, clothing, unisex, pants-eva-2, pants-unisex",black
760969,ФУТБОЛКА | EVA02 RAGE,4 150₽,https://nikifilini.com/product/t_shirt-eva02-rage/,https://nikifilini.com/wp-content/uploads/2021/07/T_SHIRT-EVA02-RAGE-1-scaled-1-700x932.jpg,"evangelion, futbolki-women, futbolki-men, futbolki-s-printom","white, asuka"
760359,ШТАНЫ | CYBERBOT EVA01,7 990₽,https://nikifilini.com/product/pants-women-cyberbot-eva01/,https://nikifilini.com/wp-content/uploads/2021/07/eva01-1--700x932.jpeg,"am, evangelion, collections, clothing, unisex, pants-eva-2, pants-unisex",black
